species, gbif_key
Etainia louisella, 1735870
Etainia sericopeza, 9400895
Ethmia bipunctella, 1845270
Ethmia dodecea, 1845565
Ethmia quadrillella, 4529566
Ethmia terminella, 1845368
Etiella zinckenella, 1870450
Euchromius ocellea, 1891167
Eucosma aemulana, 5103462
Eucosma balatonana, 5103905
Eucosma campoliliana, 5771350
Eucosma cana, 5103451
Eucosma conterminana, 5103948
Eucosma hohenwartiana, 5103421
Eucosma lacteana, 5103383
Eucosma metzneriana, 5103736
Eucosma obumbratana, 5103502
Eucosma pupillana, 5103613
Eucosma rubescana, 7975250
Eucosma tripoliana, 5103443
Eucosma wimmerana, 5103703
Eucosmomorpha albersana, 7964262
Eudemis porphyrana, 8313553
Eudemis profundana, 1743196
Eudonia angustea, 1879691
Eudonia delunella, 1879735
Eudonia lacustrata, 1879731
Eudonia lineola, 1879655
Eudonia mercurella, 1879765
Eudonia pallida, 1879630
Eudonia truncicolella, 1879630
Eulamprotes atrella, 11052757
Eulamprotes immaculatella, 10976325
Eulamprotes superbella, 11054355
Eulamprotes unicolorella, 10968699
Eulamprotes wilkella, 11080751
Eulia ministrana, 1744071
Eupoecilia ambiguella, 5103998
Eupoecilia angustana, 5104015
Eupoecilia sanguisorbana, 5104037
Eurrhypis pollinalis, 1885937
Euspilapteryx auroguttella, 5104759
Euzophera fuliginosella, 1875429
Euzophera osseatella, 1875425
Euzophera pinguis, 1875327
Evergestis aenealis, 1891426
Evergestis extimalis, 1891473
Evergestis forficalis, 4532022
Evergestis limbata, 1891494
Evergestis pallidata, 1891493
Exaeretia allisella, 1839293
Exapate congelatella, 1744224
Exoteleia dodecella, 1848636
Falseuncaria ruficiliana, 1743643
Friedlanderia cicatricella, 1883063
Galleria mellonella, 1876542
Gelechia hippophaella, 1850278
Gelechia muscosella, 1850386
Gelechia nigra, 1850302
Gelechia rhombella, 1850394
Gelechia rhombelliformis, 1850325
Gelechia sabinellus, 1850450
Gelechia scotinella, 1850377
Gelechia senticetella, 1850279
Gelechia sororculella, 1850335
Gelechia turpella, 1850460
Gibberifera simplana, 1743475
Gillmeria ochrodactyla, 4536483
Gillmeria pallidactyla, 4536472
Glaucolepis headleyella, 9634891
Glyphipterix bergstraesserella, 1829974
Glyphipterix equitella, 1829975
Glyphipterix forsterella, 1829823
Glyphipterix fuscoviridella, 1829752
Glyphipterix haworthana, 1829799
Glyphipterix schoenicolella, 1829952
Glyphipterix simpliciella, 1829776
Glyphipterix thrasonella, 1829785
Glyptoteles leucacrinella, 1877038
Gnorimoschema herbichii, 1851718
Gnorimoschema streliciella, 1851698
Gracillaria syringella, 1749713
Grapholita compositella, 1736601
Grapholita discretana, 1736484
Grapholita funebrana, 1736528
Grapholita gemmiferana, 1736504
Grapholita janthinana, 1736565
Grapholita jungiella, 1736511
Grapholita lathyrana, 7990347
Grapholita lobarzewskii, 1736485
Grapholita lunulana, 1736530
Grapholita molesta, 1736574
Grapholita orobana, 1736560
Grapholita tenebrosana, 1736512
Gravitarmata margarotana, 1736727
Gymnancyla canella, 1878586
Gynnidomorpha alismana, 4530798
Gynnidomorpha minimana, 4530803
Gynnidomorpha permixtana, 4530795
Gynnidomorpha vectisana, 4530800
Gypsonoma aceriana, 1736906
Gypsonoma dealbana, 1736904
Gypsonoma minutana, 1736905
Gypsonoma nitidulana, 4530406
Gypsonoma oppressana, 1736945
Gypsonoma sociana, 1736898
Haplotinea ditella, 1856133
Haplotinea insectella, 1856130
Harpella forficella, 1835156
Hedya nubiferana, 1737526
Hedya ochroleucana, 1737552
Hedya pruniana, 1737524
Hedya salicella, 1737542
Heinemannia festivella, 5771027
Helcystogramma lutatella, 1850533
Helcystogramma rufescens, 1850538
Heliodines roesella, 1831736
Heliothela wulfeniana, 1886084
Heliozela hammoniella, 1861210
Heliozela resplendella, 1861213
Heliozela sericiella, 1861205
Hellinsia carphodactyla, 1859483
Hellinsia didactylites, 1859471
Hellinsia distinctus, 1859486
Hellinsia lienigianus, 1859487
Hellinsia tephradactyla, 1859488
Hellula undalis, 1879408
Heringocrania unimaculella, 1731858
Hofmannophila pseudospretella, 1836899
Homoeosoma nebulella, 5125960
Homoeosoma nimbella, 5126004
Homoeosoma sinuella, 5126052
Hypatima rhomboidella, 1851555
Hypatopa binotella, 4529630
Hypatopa inunctella, 1852629
Hypochalcia ahenella, 1869803
Hypsopygia costalis, 1871407
Hypsopygia glaucinalis, 4531402
Incurvaria koerneriella, 1860671
Incurvaria masculella, 4522933
Incurvaria oehlmanniella, 1860628
Incurvaria pectinea, 1860688
Incurvaria praelatella, 1860621
Infurcitinea argentimaculella, 1856440
Infurcitinea ignicomella, 1856461
Infurcitinea teriolella, 1856494
Isophrictis anthemidella, 1847566
Isophrictis striatella, 1847572
Isotrias rectifasciana, 1738163
Karsholtia marianii, 1857517
Lamoria anella, 1873215
Lampronia capitella, 1860711
Lampronia corticella, 1860664
Lampronia flavimitrella, 1860668
Lampronia fuscatella, 4522793
Lampronia luzella, 1860709
Lampronia morosa, 4522795
Lathronympha strigana, 1736800
Leucoptera laburnella, 5119414
Leucoptera lotella, 5119443
Leucoptera lustratella, 5119393
Leucoptera malifoliella, 1832993
Leucoptera sinuella, 5119398
Leucoptera spartifoliella, 8254441
Leucospilapteryx omissella, 1749282
Levipalpus hepatariella, 100450774
Limnaecia phragmitella, 5120396
Lobesia abscisana, 1740570
Lobesia artemisiana, 1740596
Lobesia botrana, 1740623
Lobesia euphorbiana, 10956447
Lobesia littoralis, 1740518
Lobesia reliquana, 1740567
Loxostege sticticalis, 1882210
Lozotaenia forsterana, 1736377
Lozotaeniodes formosana, 1736447
Luffia ferchaultella, 1854286
Luquetia lobella, 1838969
Lyonetia clerkella, 1829322
Lyonetia prunifoliella, 1829363
Lypusa maurella, 1853723
Macrosaccus robiniella, 8741260
Marasmarcha lunaedactyla, 1859534
Matilella fusca, 4531296
Mecyna flavalis, 1878782
Merrifieldia baliodactylus, 7642240
Merrifieldia leucodactyla, 8200050
Metalampra cinnamomea, 1838905
Metalampra italica, 1838838
Metendothenia atropunctana, 4529931
Metriotes lutarea, 5120465
Metzneria aestivella, 1848847
Metzneria aprilella, 1848886
Metzneria lappella, 1848864
Metzneria metzneriella, 1848868
Micropterix aruncella, 7646066
Micropterix aureatella, 1939688
Micropterix calthella, 1939677
Micropterix mansuetella, 1939680
Micropterix osthelderi, 1939678
Micropterix schaefferi, 1939717
Micropterix tunbergella, 1939658
Micrurapteryx kollariella, 1749105
Mirificarma eburnella, 1852165
Mirificarma interrupta, 1852159
Mirificarma lentiginosella, 1852136
Mirificarma mulinella, 1852150
Moitrelia obductella, 4531060
Mompha bradleyi, 1846202
Mompha conturbatella, 1846141
Mompha divisella, 1846219
Mompha epilobiella, 1846112
Mompha idaei, 1846133
Mompha jurassicella, 4528813
Mompha lacteella, 1846210
Mompha langiella, 4528818
Mompha locupletella, 1846107
Mompha miscella, 1846117
Mompha ochraceella, 1846149
Mompha propinquella, 1846159
Mompha raschkiella, 1846236
Mompha sturnipennella, 100459284
Mompha subbistrigella, 1846111
Mompha terminella, 1846166
Monochroa arundinetella, 1846713
Monochroa conspersella, 1846689
Monochroa cytisella, 1846657
Monochroa divisella, 1846678
Monochroa elongella, 1846645
Monochroa ferrea, 1846707
Monochroa hornigi, 1846643
Monochroa lucidella, 1846715
Monochroa lutulentella, 1846691
Monochroa moyses, 1846675
Monochroa palustrellus, 1846683
Monochroa suffusella, 1846663
Monochroa tenebrella, 1846729
Monochroa tetragonella, 1846670
Monopis crocicapitella, 1857829
Monopis fenestratella, 1857891
Monopis imella, 1857847
Monopis laevigella, 1857863
Monopis monachella, 1857828
Monopis neglecta, 10431225
Monopis obviella, 1857878
Monopis weaverella, 1857856
Montescardia tessulatellus, 1856384
Morophaga choragella, 1856867
Myelois circumvoluta, 1876329
Narycia duplicella, 4526048
Nascia cilialis, 1889942
Nemapogon clematella, 1856730
Nemapogon cloacella, 1856668
Nemapogon falstriella, 1856651
Nemapogon granella, 1856701
Nemapogon inconditella, 1856741
Nemapogon ruricolella, 1856684
Nemapogon variatella, 1856686
Nemapogon wolffiella, 1856692
Nematopogon adansoniella, 4522911
Nematopogon metaxella, 4522922
Nematopogon pilella, 4522909
Nematopogon robertella, 4522919
Nematopogon schwarziellus, 4522908
Nematopogon swammerdamella, 4522916
Nemaxera betulinella, 1857774
Nemophora congruella, 1860888
Nemophora cupriacella, 1860852
Nemophora degeerella, 1860768
Nemophora fasciella, 1860765
Nemophora metallica, 7767114
Nemophora minimella, 1860865
Nemophora ochsenheimerella, 1860915
Nemophora violellus, 100448458
Neofaculta ericetella, 1848669
Neofaculta infernella, 1848672
Neofriseria peliella, 1851203
Neofriseria singula, 1851209
Neosphaleroptera nubilana, 8244670
Nephopterix angustella, 1873411
Niditinea fuscella, 1856005
Niditinea striolella, 1856023
Nomophila noctuella, 1881151
Nothris verbascella, 1849477
Notocelia cynosbatella, 4530151
Notocelia incarnatana, 8345820
Notocelia roborana, 5104064
Notocelia rosaecolana, 1741368
Notocelia trimaculana, 1741340
Notocelia uddmanniana, 1741341
Nyctegretis lineana, 1875827
Nymphula nitidulata, 4531690
Ochsenheimeria taurella, 1831780
Ochsenheimeria vacculella, 1831799
Ocnerostoma friesei, 1830584
Ocnerostoma piniariella, 1830582
Oecophora bractella, 1833626
Oegoconia caradjai, 1845965
Oegoconia deauratella, 1845962
Oegoconia novimundi, 1845962
Oidaematophorus lithodactyla, 1859952
Oinophila v-flava, 10055273
Olethreutes arcuella, 1742185
Olindia schumacherana, 1741545
Oncocera semirubella, 1875120
Opogona omoscopa, 1857143
Opogona sacchari, 1857068
Opostega salaciella, 1735532
Opostega spatulella, 1735522
Orophia sordidella, 8095487
Ortholepis betulae, 4531242
Orthotaenia undulana, 1744136
Orthotelia sparganella, 4525354
Ostrinia nubilalis, 8223165
Ostrinia palustralis, 1886320
Oxyptilus chrysodactyla, 1858868
Oxyptilus parvidactyla, 1858893
Oxyptilus pilosellae, 1858873
Pachythelia villosella, 5122293
Palpita vitrealis, 1889833
Pammene agnotana, 1744859
Pammene albuginana, 1744829
Pammene argyrana, 1744808
Pammene aurana, 1744896
Pammene aurita, 1744782
Pammene fasciana, 1744789
Pammene gallicana, 4530108
Pammene gallicolana, 1744797
Pammene germmana, 1744822
Pammene giganteana, 1744860
Pammene herrichiana, 1744789
Pammene ignorata, 1744869
Pammene insulana, 1744827
Pammene juniperana, 1744903
Pammene luedersiana, 4530099
Pammene obscurana, 1744785
Pammene ochsenheimeriana, 1744835
Pammene populana, 1744777
Pammene regiana, 1744810
Pammene rhediella, 1744763
Pammene spiniana, 1744772
Pammene splendidulana, 1744893
Pammene trauniana, 1744901
Pancalia leuwenhoekella, 1842695
Pancalia nodosella, 1842690
Pancalia schwarzella, 4529688
Pandemis cerasana, 1743828
Pandemis cinnamomeana, 1743856
Pandemis corylana, 1743862
Pandemis dumetana, 1743867
Pandemis heparana, 1743898
Parachronistis albiceps, 1847956
Paracorsia repandalis, 1888579
Paracrania chrysolepidella, 4522964
Paralipsa gularis, 1877032
Paramesia gnomana, 5104558
Parapoynx stratiotata, 1884465
Paraswammerdamia albicapitella, 4525425
Paraswammerdamia nebulella, 7976145
Paratalanta hyalinalis, 4531975
Paratalanta pandalis, 1881834
Parectopa ononidis, 1748942
Parectopa robiniella, 1748922
Parornix anglicella, 1749158
Parornix anguliferella, 1749194
Parornix betulae, 1749199
Parornix carpinella, 1749190
Parornix devoniella, 1749146
Parornix fagivora, 1749192
Parornix finitimella, 1749162
Parornix scoticella, 1749164
Parornix torquillella, 1749210
Patania ruralis, 9674732
Pediasia aridella, 1888743
Pediasia contaminella, 1888759
Pediasia fascelinella, 1888826
Pelochrista caecimaculana, 1747549
Pempelia genistella, 4531282
Pempelia palumbella, 4531284
Pempeliella ornatella, 1875682
Periclepsis cinctana, 4530632
Perittia farinella, 5119569
Perittia obscurepunctella, 1832807
Pexicopia malvella, 1846604
Phalacropterix graslinella, 1854457
Phalonidia affinitana, 1744541
Phalonidia curvistrigana, 1744542
Phalonidia gilvicomana, 1744509
Phalonidia manniana, 1744498
Phalonidia udana, 1744539
Phaulernis dentella, 1869512
Phaulernis fulviguttella, 1869505
Phiaris bipunctana, 1742229
Phiaris micana, 10807169
Phiaris palustrana, 11093909
Phiaris schulziana, 1742142
Phiaris umbrosana, 11083997
Philedone gerningana, 1745079
Phtheochroa inopiana, 1746027
Phtheochroa rugosana, 8424972
Phtheochroa schreibersiana, 1746062
Phtheochroa sodaliana, 1746103
Phthorimaea operculella, 1852118
Phycita roborella, 1875008
Phycitodes albatella, 1875940
Phycitodes binaevella, 1875918
Phycitodes inquinatella, 1875930
Phycitodes maritima, 1875952
Phycitodes saxicola, 1875896
Phyllocnistis asiatica, 1749596
Phyllocnistis citrella, 1749580
Phyllocnistis extrematrix, 1749612
Phyllocnistis saligna, 1749596
Phyllocnistis unipunctella, 1749635
Phyllocnistis valentinensis, 1749573
Phyllocnistis xenia, 1749650
Phyllonorycter acerifoliella, 1750100
Phyllonorycter anderidae, 1749791
Phyllonorycter apparella, 1750281
Phyllonorycter blancardella, 1749904
Phyllonorycter cavella, 1749797
Phyllonorycter cerasicolella, 1750256
Phyllonorycter comparella, 1750056
Phyllonorycter connexella, 1749980
Phyllonorycter coryli, 1749959
Phyllonorycter corylifoliella, 1749921
Phyllonorycter dubitella, 1750130
Phyllonorycter emberizaepenella, 1750072
Phyllonorycter esperella, 1749894
Phyllonorycter froelichiella, 1750222
Phyllonorycter geniculella, 1750157
Phyllonorycter harrisella, 1749948
Phyllonorycter heegeriella, 1749901
Phyllonorycter hilarella, 1749846
Phyllonorycter insignitella, 1750230
Phyllonorycter issikii, 1750166
Phyllonorycter joannisi, 1750097
Phyllonorycter junoniella, 1750034
Phyllonorycter klemannella, 1749954
Phyllonorycter kuhlweiniella, 1749908
Phyllonorycter lantanella, 1749762
Phyllonorycter lautella, 1750244
Phyllonorycter leucographella, 1750159
Phyllonorycter maestingella, 1749929
Phyllonorycter medicaginella, 1750286
Phyllonorycter mespilella, 1750213
Phyllonorycter messaniella, 1750131
Phyllonorycter muelleriella, 1749975
Phyllonorycter nicellii, 1749883
Phyllonorycter oxyacanthae, 1750106
Phyllonorycter pastorella, 1750046
Phyllonorycter platani, 1749936
Phyllonorycter populifoliella, 1749856
Phyllonorycter quercifoliella, 1750143
Phyllonorycter quinqueguttella, 1750122
Phyllonorycter rajella, 1750076
Phyllonorycter roboris, 1749869
Phyllonorycter sagitella, 1749801
Phyllonorycter salicicolella, 1749766
Phyllonorycter salictella, 1750226
Phyllonorycter scabiosella, 1750173
Phyllonorycter schreberella, 1750136
Phyllonorycter scopariella, 1750086
Phyllonorycter sorbi, 1749984
Phyllonorycter spinicolella, 1749880
Phyllonorycter stettinensis, 1749775
Phyllonorycter strigulatella, 1750288
Phyllonorycter tenerella, 1750144
Phyllonorycter trifasciella, 1750051
Phyllonorycter tristrigella, 1749943
Phyllonorycter ulmifoliella, 1749744
Phyllonorycter viminetorum, 1750236
Phylloporia bistrigella, 5123582
Pima boisduvaliella, 1874375
Piniphila bifasciana, 1745925
Platyedra subcinerea, 1850781
Platyptilia calodactyla, 1859100
Platyptilia gonodactyla, 1859177
Platyptilia isodactylus, 4536292
Platyptilia nemoralis, 1859144
Platytes alpinella, 5126212
Platytes cerussella, 100450381
Pleurota bicostella, 1839893
Plodia interpunctella, 1873079
Plutella porrectella, 1831168
Plutella xylostella, 1831136
Porrittia galactodactyla, 4536222
Povolnya leucapennella, 4536109
Prays citri, 1830823
Prays fraxinella, 1830843
Prays ruficeps, 1830838
Pristerognatha fuligana, 1747234
Pristerognatha penthinana, 1747237
Prochoreutis myllerana, 1860408
Prochoreutis sehestediana, 4525177
Prolita sexpunctella, 1848920
Prolita solutella, 1848950
Proutia betulina, 1854792
Psammotis pulveralis, 1891059
Pselnophorus heterodactyla, 1858641
Pseudargyrotoza conwagana, 1738245
Pseudatemelia flavifrontella, 9768838
Pseudatemelia josephinae, 9734171
Pseudatemelia latipennella, 9785913
Pseudatemelia subochreella, 9717507
Pseudococcyx posticana, 1743454
Pseudococcyx tessulatana, 11846897
Pseudococcyx turionella, 1743453
Pseudohermenias abietana, 1737650
Pseudopostega auritella, 4527342
Pseudopostega crepusculella, 4527339
Pseudosciaphila branderiana, 1738222
Pseudoswammerdamia combinella, 1830498
Pseudotelphusa paripunctella, 4527903
Pseudotelphusa scalella, 1850506
Psoricoptera gibbosella, 1848150
Psyche casta, 1854202
Psyche crassiorella, 5122359
Psychoides filicivora, 1855620
Psychoides verhuella, 1855617
Pterophorus pentadactyla, 5123221
Ptilocephala plumifera, 1853349
Ptocheuusa paupella, 1848202
Ptycholoma lecheana, 5102982
Ptycholomoides aeriferana, 1742346
Pyralis farinalis, 1872901
Pyralis pictalis, 1872850
Pyrausta aurata, 1890534
Pyrausta cingulata, 1890679
Pyrausta despicata, 1890576
Pyrausta nigrata, 1890703
Pyrausta ostrinalis, 1890522
Pyrausta porphyralis, 1890699
Pyrausta purpuralis, 1890772
Pyrausta sanguinalis, 1890898
Rebelia herrichiella, 1854504
Recurvaria leucatella, 1848596
Recurvaria nanella, 1848610
Reisseronia tarnierella, 1854900
Retinia perangustana, 4530243
Retinia resinella, 1738883
Rhodophaea formosa, 1872315
Rhopobota myrtillana, 1739042
Rhopobota naevana, 8086347
Rhopobota stagnana, 1739010
Rhopobota ustomaculana, 1739043
Rhyacionia buoliana, 1739381
Rhyacionia duplana, 1739353
Rhyacionia pinicolana, 1739337
Rhyacionia pinivorana, 1739377
Roeslerstammia erxlebella, 1748805
Salebriopsis albicilla, 1871160
Schiffermuelleria schaefferella, 1835393
Schoenobius gigantella, 1884970
Schreckensteinia festaliella, 7734292
Sciota adelphella, 1873776
Sciota hostilis, 1873780
Sciota rhenella, 1873783
Sclerocona acutella, 4531968
Scoparia ambigualis, 1882459
Scoparia basistrigalis, 1882437
Scoparia pyralella, 1882557
Scoparia subfusca, 5126834
Scrobipalpa acuminatella, 1849945
Scrobipalpa artemisiella, 1849966
Scrobipalpa atriplicella, 1849856
Scrobipalpa costella, 1849897
Scrobipalpa instabilella, 1849815
Scrobipalpa nitentella, 1849742
Scrobipalpa obsoletella, 1849764
Scrobipalpa ocellatella, 1849924
Scrobipalpa proclivella, 1849773
Scrobipalpa salinella, 1849795
Scrobipalpa samadensis, 1849758
Scrobipalpula tussilaginis, 1848766
Scythris cicadella, 1841821
Scythris dissimilella, 4527410
Scythris empetrella, 1841675
Scythris ericetella, 1841606
Scythris ericivorella, 1841596
Scythris inspersella, 1841666
Scythris knochella, 1841989
Scythris laminella, 8081369
Scythris limbella, 1841813
Scythris picaepennis, 1841833
Scythris potentillella, 1841603
Scythris siccella, 1841963
Scythris tributella, 1841882
Scythropia crataegella, 1830632
Selagia argyrella, 1875865
Selagia spadicella, 1875869
Semioscopis avellanella, 1835457
Semioscopis oculella, 1835433
Semioscopis steinkellneriana, 1835432
Siederia listerella, 9290273
Sitochroa palealis, 1886579
Sitochroa verticalis, 1886587
Sitotroga cerealella, 1849209
Sophronia semicostella, 1850008
Sorhagenia janiszewskae, 1842186
Sorhagenia rhamniella, 1842196
Sparganothis pilleriana, 1739605
Spatalistis bifasciana, 1736425
Spilonota laricana, 5771357
Spilonota ocellana, 5103066
Spoladea recurvalis, 1886251
Spuleria flavicaput, 1853079
Spulerina simploniella, 1748969
Stathmopoda pedella, 1831643
Stenolechia gemmella, 1852430
Stenolechiodes pseudogemmellus, 4527957
Stenoptilia bipunctidactyla, 1858778
Stenoptilia pneumonanthes, 1858765
Stenoptilia pterodactyla, 1858775
Stenoptilia stigmatodactylus, 1858810
Stenoptilia zophodactylus, 1858762
Stenoptinea cyaneimarmorella, 1858531
Stephensia brunnichella, 5119801
Sterrhopterix fusca, 1853587
Stictea mygindiana, 1742402
Stigmella aceris, 7698610
Stigmella aeneofasciella, 5769759
Stigmella alnetella, 5102559
Stigmella anomalella, 5102507
Stigmella assimilella, 5769720
Stigmella atricapitella, 5102449
Stigmella aurella, 5769709
Stigmella basiguttella, 5769774
Stigmella betulicola, 5102515
Stigmella carpinella, 5769750
Stigmella catharticella, 5102497
Stigmella centifoliella, 5102459
Stigmella confusella, 5769718
Stigmella continuella, 5769713
Stigmella crataegella, 5102514
Stigmella filipendulae, 8260255
Stigmella floslactella, 5769735
Stigmella freyella, 5769726
Stigmella glutinosae, 5102455
Stigmella hemargyrella, 5769789
Stigmella hybnerella, 5102531
Stigmella incognitella, 5769770
Stigmella lapponica, 5769734
Stigmella lemniscella, 5769716
Stigmella luteella, 5102480
Stigmella magdalenae, 5102448
Stigmella malella, 5102462
Stigmella microtheriella, 5769761
Stigmella minusculella, 5102557
Stigmella myrtillella, 5769740
Stigmella naturnella, 5102535
Stigmella nivenburgensis, 9031593
Stigmella nylandriella, 5102460
Stigmella obliquella, 5769710
Stigmella oxyacanthella, 5769795
Stigmella perpygmaeella, 5769768
Stigmella plagicolella, 5769760
Stigmella poterii, 5769752
Stigmella prunetorum, 5102495
Stigmella pyri, 5102445
Stigmella regiella, 5102541
Stigmella roborella, 5769783
Stigmella ruficapitella, 5102474
Stigmella sakhalinella, 5769757
Stigmella salicis, 5769751
Stigmella samiatella, 5102454
Stigmella sorbi, 5769729
Stigmella speciosa, 5769719
Stigmella splendidissimella, 5769799
Stigmella svenssoni, 5769764
Stigmella tiliae, 5102471
Stigmella tityrella, 5769737
Stigmella trimaculella, 5769712
Stigmella ulmivora, 5102527
Stigmella zelleriella, 5769742
Strophedra nitidana, 1736412
Strophedra weirana, 1736411
Swammerdamia caesiella, 5119528
Swammerdamia pyrella, 1830372
Symmoca signatella, 1845866
Synaphe punctalis, 1871252
Syndemis musculana, 1744180
Taleporia tubulosa, 1854849
Tebenna micalis, 5123339
Teleiodes flavimaculella, 1850243
Teleiodes luculella, 1850246
Teleiodes saltuum, 1850265
Teleiodes vulgella, 1850238
Teleiodes wagae, 1850256
Teleiopsis diffinis, 1849630
Tenaga nigripunctella, 1857009
Tetramoera langmaidi, 11141765
Thaumatotibia leucotreta, 5879783
Thiodia citrana, 7877231
Thiotricha subocellea, 1852311
Thisanotia chrysonuchella, 1889287
Tinagma balteolella, 1751209
Tinagma ocnerostomella, 1751207
Tinagma perdicella, 1751216
Tinea columbariella, 1858107
Tinea dubiella, 1858093
Tinea pallescentella, 1858100
Tinea pellionella, 1858163
Tinea semifulvella, 1858074
Tinea trinotella, 1858113
Tineola bisselliella, 1857626
Tischeria decidua, 1939427
Tischeria dodonaea, 1939449
Tischeria ekebladella, 1939432
Tortricodes alternella, 1747050
Tortrix viridana, 5104442
Triaxomera fulvimitrella, 1856768
Triaxomera parasitella, 1856772
Trichophaga tapetzella, 1857577
Trifurcula cryptella, 5769848
Trifurcula eurema, 5769846
Trifurcula immundella, 5102570
Trifurcula squamatella, 5102592
Trifurcula subnitidella, 5769827
Tuta absoluta, 4528100
Udea ferrugalis, 6121184
Udea fulvalis, 1887173
Udea lutealis, 4532095
Udea olivalis, 1887177
Udea prunalis, 1887108
Uresiphita gilvata, 1881126
Vitula biviella, 1875633
Vitula serratilineella, 1875631
Wheeleria spilodactylus, 6097269
Whittleia retiella, 1854525
Xenolechia aethiops, 1849492
Yponomeuta cagnagella, 100469063
Yponomeuta evonymella, 1830380
Yponomeuta irrorella, 1830408
Yponomeuta malinellus, 100469080
Yponomeuta padella, 1830457
Yponomeuta plumbella, 1830410
Yponomeuta rorrella, 100469098
Yponomeuta sedella, 1830407
Ypsolopha alpella, 4525557
Ypsolopha dentella, 4525540
Ypsolopha horridella, 4525500
Ypsolopha lucella, 4525503
Ypsolopha mucronella, 4525505
Ypsolopha nemorella, 4525530
Ypsolopha parenthesella, 4525510
Ypsolopha scabrella, 4525562
Ypsolopha sequella, 1830937
Ypsolopha sylvella, 1830962
Ypsolopha ustella, 1831002
Ypsolopha vittella, 4525547
Zeiraphera griseana, 4530214
Zeiraphera isertana, 1743710
Zeiraphera ratzeburgiana, 1743714
Zeiraphera rufimitrana, 1743705
Zelleria hepariella, 5119513
Zelleria oleastrella, 5119506
Zelotherses ferugana, 9409900
Zimmermannia liebwerdella, 9235506
Zophodia grossulariella, 1876409